행정동_코드,행정동_코드_명,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구,2030_유동인구비율
11530560,구로5동,6887783.75,1056083.75,1300165.25,2356249.0,0.34209102456214596
11530595,가리봉동,3067525.0,575436.25,682984.25,1258420.5,0.4102396883480982
11530720,고척1동,4671827.0,615636.75,707148.25,1322785.0,0.2831408354804234
11530730,고척2동,5183357.25,503068.25,658753.75,1161822.0,0.22414468923591943
11530740,개봉1동,7479451.75,815726.75,1141619.25,1957346.0,0.2616964538878134
11530750,개봉2동,3727007.0,439268.0,601866.75,1041134.75,0.2793487508877767
11530760,개봉3동,4501525.0,449578.5,662667.0,1112245.5,0.24708193334481093
11530770,오류1동,4055840.0,662470.5,717377.0,1379847.5,0.3402125083829737
11530780,오류2동,4929267.75,573819.0,713908.0,1287727.0,0.26124103321431463
11530790,수궁동,1735133.0,189474.0,223833.0,413307.0,0.23819903142871468
11530800,항동,950521.0,68492.0,160377.75,228869.75,0.24078347558865085
11545510,가산동,4910664.25,1125356.75,1302615.75,2427972.5,0.49442852868631776
11545610,독산1동,5262178.5,905619.25,1137411.75,2043031.0,0.38824813715460244
11545620,독산2동,3164045.75,384530.0,531965.5,916495.5,0.28965937044367956
11545630,독산3동,4446276.25,622154.75,788656.5,1410811.25,0.31730175334922117
11545640,독산4동,3794157.0,469849.5,621495.0,1091344.5,0.28763820263631684
11545670,시흥1동,5348604.75,668937.75,896752.25,1565690.0,0.29272867844646777
11545680,시흥2동,1502202.75,123298.5,172751.75,296050.25,0.19707742513452328
11545690,시흥3동,1234849.75,124904.75,181460.0,306364.75,0.2480988071625718
11545700,시흥4동,2126275.0,207899.25,293085.25,500984.5,0.23561604213942222
11545710,시흥5동,3359840.25,369093.25,456516.5,825609.75,0.24572887059139195
11560515,영등포본동,6594966.0,966558.75,1131501.25,2098060.0,0.3181305256160532
11560535,영등포동,10700562.0,2308922.5,2614149.75,4923072.25,0.46007604553854275
11560540,여의동,6452584.0,891471.25,1400370.5,2291841.75,0.3551820092539671
11560550,당산1동,7117768.25,1258841.75,1670919.5,2929761.25,0.4116123407080583
11560560,당산2동,8867780.0,1541065.25,2019538.0,3560603.25,0.4015213785186371
11560585,도림동,5399828.75,721102.75,989018.75,1710121.5,0.31669921013698815
11560605,문래동,9179076.0,1276837.75,1827478.0,3104315.75,0.33819479760272164
11560610,양평1동,5024077.0,802310.5,1178147.75,1980458.25,0.39419345085674445
11560620,양평2동,4709421.75,721247.25,1178779.5,1900026.75,0.40345223912043976
11560630,신길1동,5591581.75,896491.75,1008283.5,1904775.25,0.34065052344088503
11560650,신길3동,6290337.5,716474.0,977444.5,1693918.5,0.269288968994112
11560660,신길4동,2553788.25,293608.5,408350.5,701959.0,0.27486969602902667
11560670,신길5동,3021836.5,317124.5,461224.5,778349.0,0.2575748224630949
11560680,신길6동,5902214.25,839827.75,1038978.5,1878806.25,0.3183222720185056
11560690,신길7동,3743258.0,515159.5,623628.75,1138788.25,0.3042238205328086
11560700,대림1동,4249978.0,508764.25,612546.0,1121310.25,0.2638390716375473
11560710,대림2동,4702365.0,559221.5,830278.25,1389499.75,0.29548955685064854
11560720,대림3동,6667858.75,835700.5,1156870.75,1992571.25,0.2988322525578395
11590510,노량진1동,6132288.5,1829672.5,1189605.0,3019277.5,0.49235738011999924
11590520,노량진2동,2818621.0,635741.25,539183.0,1174924.25,0.4168436444630193
11590530,상도1동,7963953.25,2187527.75,1029496.75,3217024.5,0.40394818992690595
11590540,상도2동,4796649.25,708617.0,713787.5,1422404.5,0.2965412782683662
11590550,상도3동,4671216.75,747106.5,796854.0,1543960.5,0.3305264094199868
11590560,상도4동,5480433.25,762141.25,911232.25,1673373.5,0.30533598780716836
11590605,흑석동,5719313.0,1392608.25,735062.5,2127670.75,0.3720150916727236
11590620,사당1동,6596044.25,1388827.0,1379116.25,2767943.25,0.4196368528000703
11590630,사당2동,7356573.5,971492.25,1138073.0,2109565.25,0.2867592160942863
11590640,사당3동,5304719.0,663269.5,842930.0,1506199.5,0.2839357749204058
11590650,사당4동,3892506.0,625227.5,718807.0,1344034.5,0.3452877143927331
11590651,사당5동,3290596.25,453046.5,556991.0,1010037.5,0.3069466513857481
11590660,대방동,7453928.75,1338880.5,1220020.5,2558901.0,0.3432956077021799
11590670,신대방1동,3660864.0,582994.25,640783.75,1223778.0,0.33428666019824826
11590680,신대방2동,5169470.75,847231.0,935372.5,1782603.5,0.34483288255378947
11620525,보라매동,3531772.0,705901.0,707568.0,1413469.0,0.4002152460577863
11620545,청림동,3094562.5,362070.75,493837.25,855908.0,0.2765844929614445
11620565,성현동,4452317.0,560012.5,675101.5,1235114.0,0.27740926802830973
11620575,행운동,7008340.75,1710322.5,1476540.0,3186862.5,0.4547242512430635
11620585,낙성대동,5849667.25,1967035.25,1211057.5,3178092.75,0.5432946207324869
11620595,청룡동,10863303.0,3257816.5,2198379.0,5456195.5,0.5022593496655667
11620605,은천동,8429244.0,1481414.5,1518613.0,3000027.5,0.35590706592429877
11620615,중앙동,5199907.0,1364767.25,1125702.0,2490469.25,0.47894495997716885
11620625,인헌동,5938963.0,1394230.25,1197947.5,2592177.75,0.4364697591145121
11620630,남현동,4197880.25,770487.5,785500.5,1555988.0,0.3706604065230303
11620645,서원동,5230081.0,1428189.0,1173381.5,2601570.5,0.49742451407540345
11620655,신원동,5946421.5,1473109.25,1306935.0,2780044.25,0.46751550491333316
11620665,서림동,4991055.75,1332066.5,994030.5,2326097.0,0.46605309908630055
11620685,신사동,7353544.25,1871483.5,1466776.5,3338260.0,0.45396612660622804
11620695,신림동,9837828.75,3438017.5,2512214.25,5950231.75,0.6048318080348776
11620715,난향동,1404004.75,120885.0,167135.75,288020.75,0.20514229029495804
11620725,조원동,7801836.0,1589451.5,1873650.0,3463101.5,0.4438828885918648
11620735,대학동,6314902.25,2085425.0,1259843.0,3345268.0,0.5297418499233302
11620745,삼성동,6874649.0,1336723.0,1022624.75,2359347.75,0.34319537622939006
