행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,집계_기간수,분기별_매출안정성,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중
11170630,이촌1동,587352100.5,111133.25,109688.0,40331.5,0.35073534939868084,11~14,2999.0,13060.5,27271.0,26087.75,22952.5,17317.25,13415365.75,77801046.0,161975999.0,128687022.75,108370385.0,75591123.75,0.0,100928840.25,204310121.25,192556088.0,89524033.5,33017.5,4,0.869830876079531,0.3676929108015462,5285.11584516785,0.0,0.1718370295502161,0.34784947747028616,0.3278375744908058,0.15241970433712615,5.621415156580341e-05
11170640,이촌2동,54325202.0,5368.0,5134.5,1939.25,0.41680838524421404,14~17,11.5,647.0,1292.25,1136.5,1233.5,813.75,66696.5,4600498.5,11834639.75,10281052.75,14148342.25,8652230.0,120094.5,8126033.25,19264968.0,21144558.0,5512592.5,156955.75,4,0.7928338804855034,0.377690135358847,10120.194113263786,0.0022106590602277007,0.14958127997388762,0.35462303481172514,0.38922189373543425,0.10147394389808251,0.0028891885206427763
11170650,이태원1동,2945735247.75,272777.75,251362.25,155929.25,0.3503637477695878,11~14,2005.75,61296.25,94633.0,47044.25,32449.0,13934.0,23983749.25,634209544.0,983919924.0,486727061.25,341541695.25,148063607.0,86199638.5,225014792.75,1032424264.0,825799313.25,636351196.5,139946042.75,4,0.933625331791355,0.6203367848593017,10799.030521184372,0.029262520644324934,0.07638663146047152,0.3504810097202667,0.2803372481898225,0.2160245721288277,0.04750801785628666
11170660,이태원2동,1037861952.5,68584.75,65647.25,40125.0,0.38005722321363883,11~14,414.25,16297.25,23827.75,12430.0,8791.75,3886.25,5696885.5,256428857.25,353840428.25,181519255.75,122212000.0,51278740.75,1684135.75,113392587.0,391674239.5,309564221.0,201873076.5,19673692.75,4,0.8855975425383976,0.6112213382891134,15132.546994776536,0.0016226972632952359,0.10925594365113794,0.3773856807801228,0.2982710949701184,0.19450860108488272,0.01895598225044289
11170685,한남동,3234099891.25,278973.75,261402.25,154741.25,0.31389683721336176,11~14,1494.0,67395.75,87345.5,44965.0,37360.25,22841.75,15087620.5,758415333.0,1030323891.5,476278049.0,404691487.0,215655442.75,9560096.0,389085257.25,965492785.0,994915755.75,756887627.75,118158369.5,4,0.9187422455157107,0.5919660217155743,11592.846607431702,0.0029560299067648657,0.12030712418706897,0.2985352393140927,0.30763297028696873,0.23403347243472378,0.036535163870380964
11170690,서빙고동,18753989.0,2037.25,1947.5,736.25,0.4159250411701271,11~14,5.5,218.75,517.5,512.25,404.75,288.75,44114.25,1722183.0,4723400.75,4388865.25,3659564.5,3102513.5,17827.5,1691458.0,7357048.0,5944632.75,2898689.5,844333.25,4,0.7177718190460753,0.3780487804878049,9205.541293410235,0.0009505977634944757,0.09019190530611915,0.39229243442555073,0.31697964363741493,0.15456389038086776,0.045021528486552914
11170700,보광동,153279394.75,21650.5,20980.75,11345.25,0.3746704898837643,11~14,133.75,4483.25,6862.0,3550.25,3329.0,2622.5,676260.75,30254165.5,49474587.25,25579217.0,21896740.5,16975726.75,235458.75,15709983.0,57286199.0,47594318.5,32268387.0,185048.5,4,0.9389210429341279,0.5407456835432479,7079.716161289578,0.0015361409169447416,0.10249246498932955,0.3737371164169475,0.31050695742651346,0.2105200575239093,0.0012072627263554614
11200520,왕십리2동,109441873.0,14552.75,14156.0,8219.5,0.33715968212168845,11~14,182.75,3677.0,4542.5,2706.75,1531.25,1515.75,1038494.0,24294270.75,33651370.0,19695607.75,11669044.25,12793815.25,0.0,12866194.5,35594246.5,35643365.25,22123320.75,3214746.0,4,0.8601007006351993,0.5806371856456626,7520.356839772551,0.0,0.11756189973101064,0.3252342592857489,0.3256830705921855,0.20214676653057648,0.02937400386047852
11200535,왕십리도선동,600282651.75,88134.5,84248.25,47751.75,0.32606675749949543,11~14,954.25,19168.75,28583.0,13218.25,14017.0,8307.0,5160665.5,112511026.25,172155528.5,87983898.5,98262656.0,67636269.0,7502058.25,70087939.75,195415017.25,137277182.75,151197851.0,38802602.75,4,0.948362225874245,0.5667981234031567,6810.983800327908,0.012497542996002467,0.1167582297200712,0.3255383387814189,0.22868757301214143,0.2518777621828882,0.06464055330747778
11200540,마장동,640162075.5,63748.0,60684.75,30698.25,0.340795295371843,11~14,358.75,11909.0,18789.25,11696.0,10640.5,7291.25,2524436.0,95126285.5,160292256.25,116054926.0,112645934.75,81605051.75,189432.5,93864479.25,215641594.25,189181788.5,136055144.75,5229636.25,4,0.9159115806500998,0.5058643234090937,10042.073092489176,0.00029591334327645595,0.14662611679501156,0.3368546849351747,0.2955217057371591,0.21253234135079593,0.008169237838582333
